,days,btc_change,abstract,adjusted_score,cluster_labels
33,612,0.012733841,"The most popular cryptocurrency wastes energy by design. Why is that, and could it ever be greener?",-0.997981787,2
134,73,-0.054289194,"The S&P 500 rose more than 9 percent, making Friday its best day since 2008.",0.998772442,3
3,684,0.000870687,It has to be somewhere. Why not Ukraine?,-0.992556036,2
61,510,0.154123879,What if Time Warner had gotten a fateful phone call earlier in 2016?,-0.994853318,1
115,346,-0.013350771,The home-rental companys stock debut briefly left its own chief speechless.,-0.992171168,2
74,498,-0.042183274,Digital creators used the blockchain to create a whole new art scene. Then their work started selling for thousands - sometimes millions of dollars.,0.998566449,3
23,621,-0.006487632,Andrew Ross Sorkin and the DealBook team explored the environmental impact of digital currency and efforts to make it more sustainable.,0.998531222,3
79,481,-0.056520459,"Bitcoin and other cryptocurrencies have gone from curiosity to punchline to viable investment, making them almost impossible to ignore - for better or worse.",0.998761773,3
28,617,-0.014329952,"Christopher Naples is accused of hiding 46 devices used for mining cryptocurrency in Suffolk County offices, costing the county thousands of dollars in electricity.",-0.998479307,2
14,654,0.087851834,Katie Haun and I discuss the future cryptocurrency could create.,0.998649299,1
102,405,0.16024346,"The price of Dogecoin is up by more than 1,600 percent this year, pushed in recent days by celebrity cheerleading from the likes of Elon Musk,Snoop Dogg andGene Simmons.",0.998060524,1
43,540,0.005198358,Many of the promises of the E.U. referendum have yet to be fulfilled.,-0.999244094,2
93,438,0.070398315,Each market frenzy seems crazier than the last. But all have the same roots.,0.995485187,1
88,450,-0.040350715,"An artwork that sold for nearly $700,000 was the latest in the frenzied market for digital art - and possibly the first created in part by a non-human.",0.997801006,3
34,604,-0.034338376,"Insurance surcharges, like the one announced by Delta Air Lines, are a new front in corporate coronavirus vaccine initiatives.",-0.994627178,0
6,671,-0.005183047,Digital payments technology is forcing the financial system to evolve. Banks feel their power waning and want to regain control.,0.997415543,3
49,529,-0.034555731,"The F.B.I. scored two major victories, recovering a Bitcoin ransom and tricking lawbreakers with an encryption app. But criminals may still have the upper hand.",0.998616695,3
57,514,-0.083974426,The irrelevance of dollar dominance.,-0.996364772,0
39,547,-0.043450603,The exit of Teneos chief raises questions about the future of the influential advisory firm.,-0.996142566,0
120,325,0.03606667,A teenager from Florida is accused of breaching one of the most high-profile internet platforms in the world. Watch how Twitter was hacked in a Times documentary now streaming on Hulu.,-0.98794353,2
131,197,-0.006039689,"In a major show of force, hackers breached some of the sites most prominent accounts, a Whos Who of Americans in politics, entertainment and tech.",-0.997012734,2
